Town,YearMonth,Rainfall_mm
Kabarnet,2022-03,25.2
Kabarnet,2022-04,166.8
Kabarnet,2022-05,92.6
Kabarnet,2022-06,81.39999999999999
Kabarnet,2022-07,150.5
Kabarnet,2022-08,321.6
Kabarnet,2022-09,128.4
Kabarnet,2022-10,37.7
Kabarnet,2022-11,69.5
Kabarnet,2022-12,40.4
Kabarnet,2023-01,12.1
Kabarnet,2023-02,0.9
Kabarnet,2023-03,163.3
Kabarnet,2023-04,249.89999999999998
Kabarnet,2023-05,72.89999999999999
Kabarnet,2023-06,45.300000000000004
Kabarnet,2023-07,47.4
Kabarnet,2023-08,79.1
Kabarnet,2023-09,145.2
Kabarnet,2023-10,115.0
Kabarnet,2023-11,265.6
Kabarnet,2023-12,33.4
Kabarnet,2024-01,134.4
Kabarnet,2024-02,65.9
Kabarnet,2024-03,37.9
Kabarnet,2024-04,306.0
Kabarnet,2024-05,146.2
Kabarnet,2024-06,46.2
Kabarnet,2024-07,212.8
Kabarnet,2024-08,280.5
Kabarnet,2024-09,76.4
Kabarnet,2024-10,65.6
Kabarnet,2024-11,203.5
Kabarnet,2024-12,38.0
Kajiado,2022-01,42.2
Kajiado,2022-02,44.3
Kajiado,2022-03,10.3
Kajiado,2022-04,48.2
Kajiado,2022-05,13.5
Kajiado,2022-06,5.9
Kajiado,2022-07,2.7
Kajiado,2022-08,8.6
Kajiado,2022-09,9.7
Kajiado,2022-10,7.4
Kajiado,2022-11,74.3
Kajiado,2022-12,34.2
Kajiado,2023-01,6.2
Kajiado,2023-02,1.6
Kajiado,2023-03,84.5
Kajiado,2023-04,106.7
Kajiado,2023-05,40.4
Kajiado,2023-06,13.1
Kajiado,2023-07,1.6
Kajiado,2023-08,4.0
Kajiado,2023-09,15.1
Kajiado,2023-10,29.5
Kajiado,2023-11,163.4
Kajiado,2023-12,29.1
Kajiado,2024-01,140.2
Kajiado,2024-02,25.2
Kajiado,2024-03,57.7
Kajiado,2024-04,136.1
Kajiado,2024-05,47.1
Kajiado,2024-06,13.6
Kajiado,2024-07,21.9
Kajiado,2024-08,7.8
Kajiado,2024-09,23.3
Kajiado,2024-10,15.799999999999999
Kajiado,2024-11,100.9
Kajiado,2024-12,49.3
Kakamega,2022-01,80.3
Kakamega,2022-02,42.699999999999996
Kakamega,2022-03,51.400000000000006
Kakamega,2022-04,168.7
Kakamega,2022-05,240.2
Kakamega,2022-06,85.1
Kakamega,2022-07,123.4
Kakamega,2022-08,248.1
Kakamega,2022-09,110.4
Kakamega,2022-10,96.8
Kakamega,2022-11,155.8
Kakamega,2022-12,116.6
Kakamega,2023-01,3.2
Kakamega,2023-02,2.5
Kakamega,2023-03,189.0
Kakamega,2023-04,244.8
Kakamega,2023-05,88.2
Kakamega,2023-06,77.0
Kakamega,2023-07,63.300000000000004
Kakamega,2023-08,78.0
Kakamega,2023-09,149.7
Kakamega,2023-10,149.1
Kakamega,2023-11,225.7
Kakamega,2023-12,95.5
Kakamega,2024-01,129.1
Kakamega,2024-02,60.4
Kakamega,2024-03,64.8
Kakamega,2024-04,263.1
Kakamega,2024-05,140.8
Kakamega,2024-06,56.199999999999996
Kakamega,2024-07,109.8
Kakamega,2024-08,86.9
Kakamega,2024-09,96.4
Kakamega,2024-10,133.0
Kakamega,2024-11,282.0
Kakamega,2024-12,86.2
Kapenguria,2022-01,35.8
Kapenguria,2022-02,15.3
Kapenguria,2022-03,11.700000000000001
Kapenguria,2022-04,244.9
Kapenguria,2022-05,116.4
Kapenguria,2022-06,125.3
Kapenguria,2022-07,232.8
Kapenguria,2022-08,267.3
Kapenguria,2022-09,120.5
Kapenguria,2022-10,120.5
Kapenguria,2022-11,47.9
Kapenguria,2022-12,41.1
Kapenguria,2023-01,3.3
Kapenguria,2023-02,0.5
Kapenguria,2023-03,220.1
Kapenguria,2023-04,157.2
Kapenguria,2023-05,82.5
Kapenguria,2023-06,76.9
Kapenguria,2023-07,66.9
Kapenguria,2023-08,74.1
Kapenguria,2023-09,135.0
Kapenguria,2023-10,218.1
Kapenguria,2023-11,198.5
Kapenguria,2023-12,26.2
Kapenguria,2024-01,46.0
Kapenguria,2024-02,33.3
Kapenguria,2024-03,40.7
Kapenguria,2024-04,173.4
Kapenguria,2024-05,158.3
Kapenguria,2024-06,52.4
Kapenguria,2024-07,150.1
Kapenguria,2024-08,226.5
Kapenguria,2024-09,133.9
Kapenguria,2024-10,168.5
Kapenguria,2024-11,167.7
Kapenguria,2024-12,15.299999999999999
Kapsabet,2022-01,20.1
Kapsabet,2022-02,27.0
Kapsabet,2022-03,20.3
Kapsabet,2022-04,157.3
Kapsabet,2022-05,138.0
Kapsabet,2022-06,129.9
Kapsabet,2022-07,147.4
Kapsabet,2022-08,273.7
Kapsabet,2022-09,151.1
Kapsabet,2022-10,65.10000000000001
Kapsabet,2022-11,62.2
Kapsabet,2022-12,18.8
Kapsabet,2023-01,1.2
Kapsabet,2023-02,0.0
Kapsabet,2023-03,144.7
Kapsabet,2023-04,187.1
Kapsabet,2023-05,78.1
Kapsabet,2023-06,78.6
Kapsabet,2023-07,70.4
Kapsabet,2023-08,74.7
Kapsabet,2023-09,133.5
Kapsabet,2023-10,118.0
Kapsabet,2023-11,185.8
Kapsabet,2023-12,38.9
Kapsabet,2024-01,158.4
Kapsabet,2024-02,37.7
Kapsabet,2024-03,32.199999999999996
