time,precipitation_sum (mm),,,,,town
03/09/2022,0.2,,,,,Nairobi
04/09/2022,0,,,,,Nairobi
05/09/2022,0.1,,,,,Nairobi
06/09/2022,9.6,,,,,Nairobi
07/09/2022,1.4,,,,,Nairobi
08/09/2022,1.9,,,,,Nairobi
09/09/2022,0.1,,,,,Nairobi
10/09/2022,0.6,,,,,Nairobi
11/09/2022,0.1,,,,,Nairobi
12/09/2022,0.5,,,,,Nairobi
13/09/2022,1,,,,,Nairobi
14/09/2022,0.9,,,,,Nairobi
15/09/2022,0.6,,,,,Nairobi
16/09/2022,0,,,,,Nairobi
17/09/2022,0.3,,,,,Nairobi
18/09/2022,0.1,,,,,Nairobi
19/09/2022,0.2,,,,,Nairobi
20/09/2022,0.7,,,,,Nairobi
21/09/2022,0.3,,,,,Nairobi
22/09/2022,0.3,,,,,Nairobi
23/09/2022,0.1,,,,,Nairobi
24/09/2022,0.1,,,,,Nairobi
25/09/2022,1.5,,,,,Nairobi
26/09/2022,1.2,,,,,Nairobi
27/09/2022,0.1,,,,,Nairobi
28/09/2022,0,,,,,Nairobi
29/09/2022,0,,,,,Nairobi
30/09/2022,0.6,,,,,Nairobi
01/10/2022,0,,,,,Nairobi
02/10/2022,0,,,,,Nairobi
03/10/2022,0.1,,,,,Nairobi
04/10/2022,1.9,,,,,Nairobi
05/10/2022,0.3,,,,,Nairobi
06/10/2022,1.4,,,,,Nairobi
07/10/2022,0.2,,,,,Nairobi
08/10/2022,0.1,,,,,Nairobi
09/10/2022,0,,,,,Nairobi
10/10/2022,0,,,,,Nairobi
11/10/2022,0,,,,,Nairobi
12/10/2022,0,,,,,Nairobi
13/10/2022,0,,,,,Nairobi
14/10/2022,0,,,,,Nairobi
15/10/2022,0.2,,,,,Nairobi
16/10/2022,0.3,,,,,Nairobi
17/10/2022,1.1,,,,,Nairobi
18/10/2022,1.7,,,,,Nairobi
19/10/2022,0.5,,,,,Nairobi
20/10/2022,0.6,,,,,Nairobi
21/10/2022,0.2,,,,,Nairobi
22/10/2022,0,,,,,Nairobi
23/10/2022,0.4,,,,,Nairobi
24/10/2022,0.4,,,,,Nairobi
25/10/2022,1.3,,,,,Nairobi
26/10/2022,0.5,,,,,Nairobi
27/10/2022,1.9,,,,,Nairobi
28/10/2022,1.4,,,,,Nairobi
29/10/2022,0.3,,,,,Nairobi
30/10/2022,0,,,,,Nairobi
31/10/2022,2.5,,,,,Nairobi
01/11/2022,5,,,,,Nairobi
02/11/2022,4.1,,,,,Nairobi
03/11/2022,6.9,,,,,Nairobi
04/11/2022,10.5,,,,,Nairobi
05/11/2022,0.7,,,,,Nairobi
06/11/2022,1.7,,,,,Nairobi
07/11/2022,3.6,,,,,Nairobi
08/11/2022,2.5,,,,,Nairobi
09/11/2022,0.6,,,,,Nairobi
10/11/2022,0.9,,,,,Nairobi
11/11/2022,1.4,,,,,Nairobi
12/11/2022,12.7,,,,,Nairobi
13/11/2022,0.3,,,,,Nairobi
14/11/2022,5.4,,,,,Nairobi
15/11/2022,3.9,,,,,Nairobi
16/11/2022,7.7,,,,,Nairobi
17/11/2022,13.3,,,,,Nairobi
18/11/2022,0.2,,,,,Nairobi
19/11/2022,3.2,,,,,Nairobi
20/11/2022,6.5,,,,,Nairobi
21/11/2022,1,,,,,Nairobi
22/11/2022,1.6,,,,,Nairobi
23/11/2022,13.6,,,,,Nairobi
24/11/2022,1.8,,,,,Nairobi
25/11/2022,1.6,,,,,Nairobi
